STATION_FROM,STATION_TO,DISTANCE
1,2,2.9588
2,1,2.9588
1,3,2.1412
3,1,2.1412
1,4,1.4899
4,1,1.4899
1,5,1.632
5,1,1.632
1,6,1.1599000000000002
6,1,1.1599000000000002
1,7,1.5434
7,1,1.5434
1,8,2.9848000000000003
8,1,2.9848000000000003
1,9,0.63
9,1,0.63
1,10,0.8926000000000001
10,1,0.8926000000000001
1,11,2.1874000000000002
11,1,2.1874000000000002
1,12,3.2466
12,1,3.2466
1,13,1.7550999999999999
13,1,1.7550999999999999
1,14,1.2175
14,1,1.2175
1,15,3.1210999999999998
15,1,3.1210999999999998
1,16,3.0431
16,1,3.0431
1,17,0.461
17,1,0.461
1,18,1.1893
18,1,1.1893
1,19,2.1117
19,1,2.1117
1,20,1.8503
20,1,1.8503
1,21,2.0848
21,1,2.0848
1,22,2.8216
22,1,2.8216
1,23,2.5404
23,1,2.5404
1,24,3.4349000000000003
24,1,3.4349000000000003
1,25,2.0725
25,1,2.0725
1,26,1.6199000000000001
26,1,1.6199000000000001
1,27,1.7147000000000001
27,1,1.7147000000000001
1,28,3.7331
28,1,3.7331
1,29,1.6129
29,1,1.6129
1,30,2.7973000000000003
30,1,2.7973000000000003
1,31,2.3761
31,1,2.3761
1,32,2.3878000000000004
32,1,2.3878000000000004
1,33,2.409
33,1,2.409
1,34,1.7389000000000001
34,1,1.7389000000000001
1,35,1.9235
35,1,1.9235
1,36,1.1804000000000001
36,1,1.1804000000000001
1,37,0.6593
37,1,0.6593
1,38,3.2733000000000003
38,1,3.2733000000000003
1,39,2.063
39,1,2.063
1,40,2.0028
40,1,2.0028
1,41,1.6582999999999999
41,1,1.6582999999999999
1,42,2.2775
42,1,2.2775
1,43,1.6821
43,1,1.6821
1,44,3.4625
44,1,3.4625
1,45,2.9566999999999997
45,1,2.9566999999999997
1,47,2.0976
47,1,2.0976
1,48,3.2386999999999997
48,1,3.2386999999999997
1,49,3.4753000000000003
49,1,3.4753000000000003
1,50,2.4149000000000003
50,1,2.4149000000000003
1,51,0.5257000000000001
51,1,0.5257000000000001
1,52,0.7626000000000001
52,1,0.7626000000000001
1,53,0.7627
53,1,0.7627
1,54,1.4387999999999999
54,1,1.4387999999999999
1,55,1.3484
55,1,1.3484
1,56,2.5039000000000002
