route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3866_61273,7778019,1,Sandymount - O'Connell Street - Santry,,3,,,
3866_61274,7778019,4,Monkstown Avenue - Harristown,,3,,,
3866_61275,7778019,6,Howth Dart Stn - Lower Abbey Street,,3,,,
3866_61276,7778019,7,Brides Glen Luas - Mountjoy Square,,3,,,
3866_61277,7778019,7A,Loughlinstown - Mountjoy Sq,,3,,,
3866_61278,7778019,7B,Shankhill - Mountjoy Square,,3,,,
3866_61279,7778019,7D,Dalkey - Mountjoy Square,,3,,,
3866_61280,7778019,7E,Mountjoy Square - Dalkey,,3,,,
3866_61281,7778019,9,Limekiln Avenue - Charlestown,,3,,,
3866_61282,7778019,11,Sandyford Ind Estate - Wadelai Pk,,3,,,
3866_61283,7778019,13,Grange Castle - Harristown,,3,,,
3866_61284,7778019,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),,3,,,
3866_61285,7778019,15,Ballycullen Road - Clongriffin,,3,,,
3866_61286,7778019,16,Ballinteer - Dublin Airport,,3,,,
3866_61287,7778019,16D,Airport - Beaumont Village - Ballinteer not,,3,,,
3866_61288,7778019,L53,Liffey Valley - Adamstown Stn,,3,,,
3866_61289,7778019,26,Fonthill Rd (Liffey Valley) - Merrion Square,,3,,,
3866_61290,7778019,27,Jobstown - Clare Hall,,3,,,
3866_61291,7778019,27X,Clare Hall - UCD Belfield,,3,,,
3866_61292,7778019,77X,Citywest – UCD Belfield,,3,,,
3866_61293,7778019,32X,UCD Belfield - Malahide,,3,,,
3866_61294,7778019,33,Balbriggan - Lower Abbey St,,3,,,
3866_61295,7778019,33X,Skerries - Custom House Quay / St Stephen Green,,3,,,
3866_61296,7778019,33D,Portrane - St Stephens Green,,3,,,
3866_61297,7778019,33E,Lwr Abbey St - Portrane - Skerries,,3,,,
3866_61298,7778019,37,Blanchardstown Shopping Centre - Wilton Terrace,,3,,,
3866_61299,7778019,38,Damastown - Burlington Road,,3,,,
3866_61300,7778019,38A,Damastown via Navan Rd - Burlington Rd,,3,,,
3866_61301,7778019,38B,Damastown via Ballycoolin Ind Est - Burlington Rd,,3,,,
3866_61302,7778019,70,Dunboyne - Burlington Rd,,3,,,
3866_61303,7778019,38D,IBM Damastown via N3 - Burlington Rd,,3,,,
3866_61304,7778019,70D,Dunboyne - DCU,,3,,,
3866_61305,7778019,39X,Ongar - Burlington Road,,3,,,
3866_61306,7778019,39,Ongar - Burlington Rd,,3,,,
3866_61307,7778019,39A,Ongar - UCD Belfield,,3,,,
3866_61308,7778019,40,Charlestown Shopping Centre - Earlsfort Terrace,,3,,,
3866_61309,7778019,40B,Toberburr - Parnel Street,,3,,,
3866_61310,7778019,40E,Broombridge Luas - Tyrrelstown,,3,,,
3866_61311,7778019,40D,Tyrrelstown - Parnell Street,,3,,,
3866_61312,7778019,41,Swords Manor - Lower Abbey Street,,3,,,
3866_61313,7778019,41D,Swords Business Park - Lwr Abbey St,,3,,,
3866_61314,7778019,41B,Rolestown - Lower Abbey Street,,3,,,
3866_61315,7778019,41C,Swords Manor Via River Valley - Lower Abbey St,,3,,,
3866_61316,7778019,41X,Swords - UCD Belfield,,3,,,
3866_61317,7778019,42,Sand's Hotel Portmarnock - Eden Quay,,3,,,
3866_61318,7778019,43,Talbot Street – Swords Business Park,,3,,,
3866_61319,7778019,44D,Dundrum - OCS,,3,,,
3866_61320,7778019,44,Enniskerry - DCU,,3,,,
3866_61321,7778019,44B,Glencullen - Dundrum Luas,,3,,,
3866_61322,7778019,46A,Dun Laoghaire - Phoenix Park,,3,,,
3866_61323,7778019,46E,Mountjoy Square - Blackrock Station,,3,,,
3866_61324,7778019,47,Poolbeg Street – Belarmine,,3,,,
3866_61325,7778019,49,Tallaght (The Square) - Pearse St,,3,,,
3866_61326,7778019,51D,Aston Quay – Clondalkin,,3,,,
3866_61327,7778019,52,Intel - Ringsend,,3,,,
3866_61328,7778019,27A,Blunden Drive - Eden Quay,,3,,,
3866_61329,7778019,53,Dublin Ferryport - Talbot St,,3,,,
3866_61330,7778019,54A,Ellensborough - Pearse St,,3,,,
3866_61331,7778019,56A,Tallaght - Ringsend Rd,,3,,,
3866_61332,7778019,60,Forbes Street - Tallaght,,3,,,
3866_61333,7778019,65B,Poolbeg Street – Citywest,,3,,,
3866_61334,7778019,65,Poolbeg Street – Blessington/Ballymore,,3,,,
